,appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,tags,counts_rv_eng,all_time_peak,24h_peak
332,514900,>observer_,Bloober Team SA,Bloober Team,,4483,1174,0,"500,000 .. 1,000,000",410,0,457,0,0,0,0,10,"['Cyberpunk', 'Psychological Horror', 'Horror', 'Atmospheric', 'Sci-fi', 'Story Rich', 'First-Person', 'Walking Simulator', 'Adventure', 'Detective', 'Dystopian', 'Singleplayer', 'Futuristic', 'Violent', 'Indie', 'Dark', 'Gore', 'Stealth', 'Nudity', 'Survival']",2834,960,7
333,360940,The Mean Greens - Plastic Warfare,"Virtual Basement LLC, Code Headquarters LLC",Virtual Basement LLC,,8077,1798,0,"500,000 .. 1,000,000",158,0,106,0,999,999,0,9,"['Action', 'Multiplayer', 'Third-Person Shooter', 'Shooter', 'Funny', 'Indie', 'Great Soundtrack', 'Colorful', 'Co-op', 'Fast-Paced', 'Online Co-Op', 'FPS', 'First-Person', 'Casual', 'Military', 'Singleplayer', 'Family Friendly', 'Cartoony', 'World War II', 'Atmospheric']",4761,2747,9
334,205710,EverQuest,Darkpaw Games,Daybreak Game Company,,1375,343,0,"500,000 .. 1,000,000",2847,0,249,0,0,0,0,494,"['Free to Play', 'RPG', 'Massively Multiplayer', 'MMORPG', 'Fantasy', 'Classic', 'Old School', 'Adventure', 'Multiplayer', 'Action', 'Sandbox', 'Open World']",1526,974,445
335,204060,Superbrothers: Sword & Sworcery EP,"Capybara, Superbrothers, Jim Guthrie",Capybara Games,,1922,564,0,"500,000 .. 1,000,000",79,0,25,0,799,799,0,1,"['Adventure', 'Indie', 'Pixel Graphics', 'Great Soundtrack', 'Point & Click', 'Atmospheric', 'Female Protagonist', 'Singleplayer', 'Fantasy', 'Puzzle', 'Relaxing', 'Beautiful', '2D', 'Casual', 'Music', 'Story Rich', 'Touch-Friendly', 'Exploration', 'Retro', 'Walking Simulator']",1844,257,1
336,253030,Race The Sun,Flippfly LLC,Flippfly LLC,,5794,384,0,"500,000 .. 1,000,000",167,0,144,0,999,999,0,14,"['Procedural Generation', 'Runner', 'Racing', 'Perma Death', 'Driving', 'Difficult', 'Tutorial', 'Survival', 'Arcade', '3D', 'VR', 'Atmospheric', 'Noir', 'Third Person', 'Relaxing', 'Post-apocalyptic', 'Surreal', 'Level Editor', 'First-Person', 'Action']",3711,6371,16
337,343360,Particula,Microblast Games,SA Industry,,1549,683,0,"500,000 .. 1,000,000",324,0,350,0,99,99,0,158,"['Strategy', 'Indie', 'Tower Defense', 'Casual', 'Co-op', 'Singleplayer', 'Relaxing']",736,6956,5
338,1407530,Warrior Beneath Heaven,Keyue Game Studio,Keyue Game Studio,,5,2,0,"500,000 .. 1,000,000",0,0,0,0,359,599,40,0,"['Action', 'Arcade', '3D Fighter', '3D', 'Swordplay', 'Casual', 'Martial Arts', 'Indie', 'Simulation', 'Singleplayer', 'Local Multiplayer', 'Fighting', '3D Platformer', 'Hack and Slash', 'Historical', 'LGBTQ+', 'PvP', 'Gore', 'RPG']",4,1,0
339,263060,Blockstorm,GhostShark,IndieGala,,5195,1280,0,"500,000 .. 1,000,000",216,0,181,0,499,499,0,2,"['Action', 'FPS', 'Multiplayer', 'Shooter', 'Indie', 'Building', 'Sandbox', 'First-Person', 'Character Customization', 'Voxel', 'Pixel Graphics', 'Open World', 'Zombies', 'Gun Customization', 'Destruction', 'Level Editor', 'Massively Multiplayer', 'Singleplayer', 'Walking Simulator', 'Casual']",2693,1409,4
340,363490,Escape Machines,Mint Age Studios,Back To Basics Gaming,,277,387,0,"500,000 .. 1,000,000",199,0,212,0,199,199,0,0,"['Early Access', 'Action', 'Indie', 'Strategy', 'Adventure', 'RPG', 'Robots', 'Sci-fi', 'Isometric']",298,8587,0
341,941460,Death Trash,Crafting Legends,Crafting Legends,,2456,102,0,"500,000 .. 1,000,000",159,0,298,0,1999,1999,0,22,"['Early Access', 'Post-apocalyptic', 'Pixel Graphics', 'Exploration', 'Local Co-Op', 'Isometric', 'Story Rich', 'Action RPG', 'Atmospheric', 'Choices Matter', 'Cyberpunk', 'Old School', 'RPG', 'Open World', 'Character Customization', 'CRPG', 'Souls-like', 'PvE', 'Singleplayer', 'Lovecraftian']",1960,936,18
